ID	NameB	TF
2707	笹沼	954
2708	富塚	954
2709	一宮	953
2710	亀川	953
2711	芝原	953
2712	秦野	952
2713	島岡	952
2714	湯原	952
2715	稲富	951
2716	宮森	951
2717	香田	951
2718	仙石	951
2719	大金	950
2720	萩尾	949
2721	川手	948
2722	元山	947
2723	神藤	947
2724	大園	947
2725	稲生	946
2726	込山	946
2727	潮田	946
2728	道上	946
2729	尾川	946
2730	幸	945
2731	村崎	945
2732	梅川	945
2733	黒沼	943
2734	楠木	943
2735	八尾	943
2736	横倉	942
2737	横堀	942
2738	鍋田	941
2739	立原	941
2740	稲森	940
2741	大蔵	940
2742	濱野	939
2743	梅林	938
2744	淡路	937
2745	永嶋	936
2746	高口	934
2747	鴨川	933
2748	山道	933
2749	周藤	933
2750	出原	933
2751	貝塚	932
2752	古舘	932
2753	鏑木	932
2754	本川	932
2755	古里	931
2756	若菜	931
2757	石見	931
2758	奈須	931
2759	岡嶋	930
2760	矢倉	930
2761	黒石	929
2762	小長谷	928
2763	横塚	927
2764	安楽	926
2765	安間	926
2766	川浪	926
2767	檜垣	926
2768	高屋	925
2769	杉井	925
2770	倉地	924
2771	萩谷	924
2772	磯山	922
2773	蟹江	922
2774	橘田	921
2775	三石	921
2776	北爪	921
2777	関沢	920
2778	三代	920
2779	新津	920
2780	小見山	919
2781	湯山	919
2782	二川	919
2783	源	918
2784	下岡	917
2785	上嶋	917
2786	当山	917
2787	蓬田	917
2788	喜納	916
2789	星山	915
2790	江沢	914
2791	紙谷	914
2792	入口	914
2793	芹澤	913
2794	勝木	913
2795	小浦	912
2796	打田	912
2797	白幡	912
2798	蓑田	912
2799	荒尾	911
2800	沢崎	911
2801	中家	911
2802	浅海	910
2803	藤中	910
2804	徳原	910
2805	荒瀬	909
2806	橋元	908
2807	重野	908
2808	西平	908
2809	増岡	908
2810	知久	908
2811	猪飼	906
2812	磯辺	905
2813	外村	905
2814	増沢	905
2815	張替	905
2816	重本	904
2817	神代	904
2818	八鍬	904
2819	窪	903
2820	玉野	902
2821	上中	902
2822	藤生	902
2823	片寄	902
2824	堅田	901
2825	柏谷	901
2826	細矢	899
2827	赤沼	899
2828	南條	899
2829	菊谷	898
2830	市瀬	898
2831	舛田	898
2832	江端	897
2833	堀場	897
2834	安宅	896
2835	昆	896
2836	西海	896
2837	池戸	896
2838	菅生	894
2839	菅沢	894
2840	津山	893
2841	石堂	892
2842	浜名	891
2843	濱本	891
2844	樫本	890
2845	堂本	890
2846	久住	889
2847	六車	889
2848	広中	888
2849	十川	888
2850	沼尾	888
2851	立田	888
2852	山賀	886
2853	横関	885
2854	下原	885
2855	高平	884
2856	秋庭	884
2857	先崎	884
2858	瀧澤	884
2859	末岡	884
2860	守山	882
2861	花谷	881
2862	川路	881
2863	前畑	880
2864	江幡	879
2865	鹿内	879
2866	斉田	879
2867	今里	878
2868	桶谷	877
2869	吉池	877
2870	増野	877
2871	村島	877
2872	中筋	877
2873	山縣	876
2874	水原	876
2875	安斉	875
2876	伊田	875
2877	宮谷	875
2878	赤城	875
2879	津崎	875
2880	渋田	874
2881	新庄	873
2882	高取	872
2883	新岡	872
2884	菅家	872
2885	川部	872
2886	瀧本	872
2887	阿保	871
2888	永友	871
2889	高部	871
2890	寺口	871
2891	倉岡	870
2892	間	869
2893	小阪	869
2894	針谷	869
2895	木部	869
2896	永石	868
2897	河原崎	868
2898	海藤	868
2899	渋川	868
2900	小峯	868
2901	神長	868
2902	谷垣	868
2903	上月	867
2904	横島	866
2905	弘田	866
2906	楠原	866
2907	飯岡	866
2908	新納	865
2909	下島	864
2910	吉浦	864
2911	植山	864
2912	与儀	864
2913	五藤	863
2914	上出	863
2915	大瀬	863
2916	池山	863
2917	津曲	863
2918	毛塚	863
2919	花沢	861
2920	笹	861
2921	上	860
2922	安食	859
2923	秋谷	859
2924	石戸	859
2925	当間	859
2926	峯村	859
2927	古館	858
2928	高階	858
2929	三塚	858
2930	中口	858
2931	田窪	858
2932	油谷	858
2933	臼杵	857
2934	霜田	856
2935	本谷	856
2936	間野	855
2937	室岡	855
2938	安富	854
2939	岩堀	854
2940	原沢	854
2941	水元	854
2942	藤浪	854
2943	羽根	852
2944	黒野	852
2945	上遠野	852
2946	箭内	852
2947	角井	851
2948	横須賀	850
2949	大類	850
2950	満田	850
2951	関原	848
2952	戸嶋	848
2953	小城	848
2954	森原	848
2955	勝亦	847
2956	足達	847
2957	大地	847
2958	唐木	847
2959	久慈	846
2960	浅賀	846
2961	卜部	846
2962	吉尾	845
2963	水川	845
2964	隈元	844
2965	三吉	844
2966	小尾	844
2967	大嶽	844
2968	有山	844
2969	梨本	844
2970	小枝	843
2971	桧山	843
2972	安島	842
2973	勝間田	841
2974	福澤	841
2975	明神	841
2976	嘉数	839
2977	柿田	839
2978	柴垣	839
2979	楠瀬	839
2980	久下	838
2981	芦川	837
2982	照沼	837
2983	都丸	837
2984	美濃	837
2985	有井	836
2986	弓場	835
2987	中司	835
2988	直江	835
2989	酒匂	834
2990	榛葉	834
2991	水井	834
2992	土江	834
2993	喜多村	833
2994	大日方	833
2995	丸	832
2996	宮林	832
2997	森園	832
2998	田邉	832
2999	澁谷	832
3000	樫原	831
