ID	NameB	TF
696	藤木	5,200
697	平塚	5,183
698	井川	5,182
699	古沢	5,161
700	梅原	5,150
701	新垣	5,137
702	浜本	5,137
703	赤松	5,112
704	森脇	5,108
705	相川	5,108
706	阿久津	5,106
707	乾	5,104
708	香川	5,103
709	大滝	5,088
710	玉城	5,081
711	秋葉	5,077
712	水田	5,074
713	北沢	5,072
714	風間	5,061
715	塩谷	5,058
716	下川	5,046
717	喜多	5,036
718	布施	5,034
719	佐川	5,014
720	金丸	5,007
721	野原	5,004
722	生田	5,000
723	中林	4,995
724	小野田	4,982
725	松元	4,981
726	今西	4,974
727	浦田	4,968
728	小椋	4,956
729	細井	4,951
730	羽田	4,945
731	山城	4,939
732	平沢	4,933
733	宮野	4,932
734	大和田	4,931
735	岩間	4,929
736	土橋	4,927
737	都築	4,915
738	曽根	4,913
739	細野	4,911
740	梅本	4,910
741	堀越	4,899
742	長崎	4,891
743	小幡	4,885
744	大矢	4,873
745	仲村	4,873
746	仲田	4,868
747	矢口	4,866
748	染谷	4,865
749	山元	4,861
750	杉野	4,856
751	椎名	4,845
752	麻生	4,835
753	矢田	4,832
754	宇都宮	4,830
755	濱田	4,829
756	目黒	4,828
757	依田	4,825
758	並木	4,823
759	木戸	4,821
760	山形	4,818
761	北田	4,816
762	大畑	4,803
763	木本	4,791
764	日下	4,784
765	西口	4,775
766	赤木	4,775
767	高梨	4,745
768	浅川	4,745
769	大庭	4,739
770	寺尾	4,735
771	川辺	4,734
772	梅津	4,731
773	影山	4,730
774	菅沼	4,715
775	富岡	4,713
776	石渡	4,706
777	波多野	4,686
778	小玉	4,683
779	真田	4,655
780	深田	4,651
781	倉持	4,648
782	大貫	4,640
783	小沼	4,618
784	勝又	4,599
785	橋爪	4,589
786	高倉	4,585
787	柳原	4,580
788	角	4,573
789	雨宮	4,567
790	立川	4,562
791	池内	4,550
792	岩城	4,546
793	栗林	4,540
794	白鳥	4,535
795	瀬尾	4,533
796	石坂	4,530
797	神野	4,526
798	首藤	4,502
799	丹野	4,475
800	大熊	4,473
801	合田	4,453
802	上杉	4,447
803	結城	4,441
804	尾上	4,441
805	海老原	4,440
806	神崎	4,434
807	青野	4,432
808	赤坂	4,428
809	玉置	4,426
810	宮坂	4,423
811	板橋	4,403
812	北	4,398
813	久米	4,393
814	川西	4,384
815	井原	4,377
816	大下	4,377
817	西脇	4,359
818	妹尾	4,357
819	永島	4,349
820	三沢	4,340
821	桑田	4,330
822	清田	4,330
823	小久保	4,326
824	曽我	4,326
825	有賀	4,324
826	竹原	4,318
827	森口	4,314
828	横尾	4,310
829	西島	4,306
830	志田	4,302
831	坂野	4,290
832	池本	4,277
833	三枝	4,268
834	須賀	4,266
835	今	4,265
836	田端	4,263
837	日比野	4,261
838	大嶋	4,255
839	川越	4,247
840	飛田	4,235
841	柏原	4,225
842	櫻井	4,197
843	大林	4,193
844	芦田	4,181
845	横川	4,170
846	本村	4,166
847	小堀	4,157
848	東海林	4,145
849	脇田	4,140
850	水島	4,128
851	石倉	4,119
852	笹川	4,101
853	小栗	4,100
854	春日	4,095
855	梅村	4,095
856	谷村	4,094
857	内村	4,092
858	坂東	4,089
859	砂川	4,084
860	浦野	4,082
861	島袋	4,077
862	江原	4,075
863	手島	4,069
864	楠	4,062
865	角谷	4,052
866	柳川	4,046
867	浜	4,042
868	楠本	4,034
869	花岡	4,030
870	岡山	4,029
871	明石	4,026
872	島津	4,018
873	高畑	4,005
874	平良	4,003
875	前島	3,995
876	大和	3,994
877	白木	3,989
878	滝川	3,980
879	玉木	3,974
880	富山	3,969
881	本橋	3,969
882	国分	3,968
883	中塚	3,966
884	吉崎	3,955
885	前野	3,950
886	柴山	3,946
887	沖田	3,932
888	小菅	3,931
889	益田	3,928
890	池谷	3,922
891	沖	3,915
892	浅沼	3,914
893	野呂	3,897
894	熊田	3,890
895	勝田	3,883
896	森永	3,879
897	井本	3,860
898	戸塚	3,852
899	高谷	3,851
900	桜田	3,851
901	岩谷	3,841
902	吉澤	3,839
903	寺沢	3,838
904	大高	3,832
905	倉本	3,821
906	大浦	3,817
907	菅井	3,807
908	田渕	3,800
909	中	3,799
910	黒崎	3,797
911	梅沢	3,783
912	会田	3,776
913	畠中	3,776
914	村木	3,775
915	滝	3,771
916	田尻	3,767
917	南部	3,766
918	古山	3,763
919	塩見	3,761
920	石野	3,761
921	本山	3,761
922	笹原	3,760
923	高嶋	3,756
924	恩田	3,747
925	百瀬	3,738
926	井村	3,737
927	八田	3,733
928	小口	3,723
929	児島	3,720
930	日下部	3,720
931	沢井	3,710
